node,centrality
E1,0.1789162112932605
E2,0.012295081967213115
E3,0.0
E4,0.0
E5,0.0
E-TL,0.0
M1,0.20373568826437677
M2,0.12728499869893314
O-BA1,0.0
O-E1,0.0
S2T-TL,0.09421838407494147
O-E3,0.0
O-TL1,0.0
O-TL2,0.0
PM,0.0
S1P-BA1,0.0
S1P-BA2,0.0
S1P-BA3,0.0
S1P-TL,0.03964025500910747
S1S-BA1,0.0
S1S-BA2,0.2223328129065834
S1S-BA3,0.0
O-BA4,0.0
S1S-TL,0.10778688524590162
S1T-BA1,0.014906973718449127
S1T-BA2,6.830601092896175e-05
S1T-BA3,0.004901769450949779
S1T-BA4,6.830601092896175e-05
S1T-BA5,0.15299570647931302
S1TP-BA6,0.08323250065053346
S1TP-TL,0.1415560759823055
O-BA3,0.0
O-BA2,0.0
O-BA5,0.0
O-TL3,0.0
S2T-BA1,0.016582097319802237
S2T-BA2,0.06279924538121259
S2T-BA3,0.06260896435076763
S2T-BA4,0.0
S1S-BA,0.0
S3-BA1,0.0
S3-BA11,0.0
S3-BA12,0.0
S3-BA2,0.0
S3-BA3,0.056902159771012234
O-BA6,0.0
E6,0.0
S3-BA6,0.07486338797814207
S3-BA7,0.025956284153005466
S3-BA8,0.07663934426229509
S3-BA9,0.0
O-TL4,0.0
O-TL5,0.0
SD1,0.14098360655737704
SD2,0.016256830601092898
SD3,0.027185792349726776
SD4,0.014480874316939887
SD5,0.0
SD-TL,0.11047358834244081
SM1,0.0
SM2,0.0
SM3,0.0
