node,centrality
E1,0.24764172543273194
E2,0.19442047742306584
E3,0.0
E4,0.0
E5,0.0
E-TL,0.19848784624081403
M1,0.3383806782630459
M2,0.38545972915181753
O-BA1,0.0
O-E1,0.0
S2T-TL,0.2654363404338863
O-E3,0.2741022638563622
O-TL1,0.1490264735529736
O-TL2,0.19848784624081403
PM,0.33612540385305734
S1P-BA1,0.0
S1P-BA2,0.0
S1P-BA3,0.0
S1P-TL,0.2955191256830601
S1S-BA1,0.19789227166276346
S1S-BA2,0.3212164409598479
S1S-BA3,0.0
O-BA4,0.16478761655189225
S1S-TL,0.17315573770491802
S1T-BA1,0.2490329710812304
S1T-BA2,0.1970127504553734
S1T-BA3,0.1458153580672994
S1T-BA4,0.2238781255174698
S1T-BA5,0.2935620453805233
S1TP-BA6,0.328354584092289
S1TP-TL,0.33581718827620466
O-BA3,0.0
O-BA2,0.0
O-BA5,0.20057859209257473
O-TL3,0.19848784624081403
S2T-BA1,0.1752089677962807
S2T-BA2,0.19967508492098654
S2T-BA3,0.21729347476695593
S2T-BA4,0.2205366609575075
S1S-BA,0.1443904522881401
S3-BA1,0.19848784624081403
S3-BA11,0.19848784624081403
S3-BA12,0.0
S3-BA2,0.16478761655189225
S3-BA3,0.20241036005689045
O-BA6,0.1443904522881401
E6,0.0
S3-BA6,0.23961010190518386
S3-BA7,0.16540249571813065
S3-BA8,0.2033388479470597
S3-BA9,0.16992317464158246
O-TL4,0.0
O-TL5,0.13895883652808466
SD1,0.2562304557945608
SD2,0.20811206034018317
SD3,0.2033388479470597
SD4,0.20241036005689045
SD5,0.0
SD-TL,0.2100846865045451
SM1,0.16478761655189225
SM2,0.17383477981356477
SM3,0.0
