node,coefficient
E1,0.0
S3-BA1,0.0
S3-BA3,0.2
S3-BA11,0.0
S1S-BA2,0.10526315789473684
O-TL3,0.0
O-TL2,0.0
E-TL,0.0
E2,0.0
E3,0.0
E4,0.0
E5,0.0
M1,0.20666666666666667
PM,0.43333333333333335
S2T-TL,0.40384615384615385
M2,0.23863636363636365
S1TP-TL,0.17204301075268819
O-E3,0.0
S1TP-BA6,0.28160919540229884
S1P-TL,0.2222222222222222
O-BA1,0.0
S1S-TL,0.0
O-E1,0.0
S2T-BA3,0.28125
S1T-BA5,0.3415841584158416
S1P-BA1,0.0
S1P-BA2,0.0
SD3,0.42424242424242425
S1P-BA3,1.0
S2T-BA4,0.5
S1S-BA1,0.0
SD1,0.3137254901960784
S3-BA6,0.10714285714285714
S1S-BA3,0.0
O-BA4,0.0
S3-BA8,0.030303030303030304
O-TL1,0.0
SD-TL,0.32
O-BA6,0.0
S1S-BA,0.0
S1T-BA1,0.625
S1T-BA2,0.7
S1T-BA4,0.7115384615384616
S1T-BA3,0.4074074074074074
S2T-BA1,0.34615384615384615
O-BA3,0.0
O-BA2,0.0
O-BA5,1.0
SD2,0.45
S2T-BA2,0.3148148148148148
SM2,0.0
S3-BA12,0.0
S3-BA2,0.0
S3-BA7,0.125
E6,0.0
O-TL5,0.0
SM1,0.0
O-TL4,0.0
SD4,0.6153846153846154
S3-BA9,0.0
SD5,1.0
SM3,0.0
